# Package list from WSL host system (Ubuntu)
# Generated: 2026年 08月 28日 星期五 23:16:27 CST
# Total packages: 1105

Package                                  Version              Architecture
libmailtools-perl                        2.22-1               all
libmaxminddb0:amd64                      1.12.2-1build2       amd64
libmd0:amd64                             1.1.0-2build4        amd64
libmd4c0:amd64                           0.5.2-2build1        amd64
libmecab2:amd64                          0.996-15.1build4     amd64
libmnl0:amd64                            1.0.5-3build1        amd64
libmount1:amd64                          2.41.3-3ubuntu2      amd64
libmp3lame0:amd64                        3.101~svn6525+dfsg-2 amd64
libmpathcmd0                             0.14.3-2ubuntu1      amd64
libmpathpersist0                         0.14.3-2ubuntu1      amd64
libmpc3:amd64                            1.3.1-3              amd64
libmpfr6:amd64                           4.2.2-3              amd64
libmpg123-0t64:amd64                     1.33.3-2             amd64
libmtdev1t64:amd64                       1.1.7-1build1        amd64
libmultipath0                            0.14.3-2ubuntu1      amd64
libncurses-dev:amd64                     6.6+20251231-1       amd64
libncurses6:amd64                        6.6+20251231-1       amd64
libncursesw6:amd64                       6.6+20251231-1       amd64
libndctl6:amd64                          81-1ubuntu1          amd64
libnet-dbus-perl                         1.2.0-2build4        amd64
libnet-http-perl                         6.24-1build1         all
libnet-smtp-ssl-perl                     1.04-2               all
libnet-ssleay-perl:amd64                 1.94-3               amd64
libnetfilter-conntrack3:amd64            1.1.1-1              amd64
libnetpbm11t64:amd64                     2:11.10.02-1build1   amd64
libnetplan1:amd64                        1.2-1ubuntu5         amd64
libnettle8t64:amd64                      3.10.2-1             amd64
libnewt0.52:amd64                        0.52.25-1ubuntu3     amd64
libnfnetlink0:amd64                      1.0.2-3build1        amd64
libnfs14:amd64                           5.0.2-1ubuntu1.1     amd64
libnftables1:amd64                       1.1.6-1              amd64
libnftnl11:amd64                         1.3.1-1              amd64
libnghttp2-14:amd64                      1.68.0-2ubuntu0.2    amd64
libnl-3-200:amd64                        3.12.0-2             amd64
libnl-route-3-200:amd64                  3.12.0-2             amd64
libnpth0t64:amd64                        1.8-3build1          amd64
libnspr4:amd64                           2:4.38.2-1ubuntu1    amd64
libnss-systemd:amd64                     259.5-0ubuntu3.4     amd64
libnss3:amd64                            2:3.120-1ubuntu2.1   amd64
libnuma1:amd64                           2.0.19-1build1       amd64
libogg0:amd64                            1.3.6-2              amd64
libopenexr-3-1-30:amd64                  3.1.13-2build1       amd64
libopenjp2-7:amd64                       2.5.4-1ubuntu0.1     amd64
libopus0:amd64                           1.6.1-1              amd64
liborc-0.4-0t64:amd64                    1:0.4.42-2           amd64
libp11-kit0:amd64                        0.26.2-2             amd64
libpackagekit-glib2-18:amd64             1.3.4-3ubuntu1.2     amd64
libpam-cap:amd64                         1:2.75-10ubuntu2     amd64
libpam-modules:amd64                     1.7.0-5ubuntu3.1     amd64
libpam-modules-bin                       1.7.0-5ubuntu3.1     amd64
libpam-runtime                           1.7.0-5ubuntu3.1     all
libpam-systemd:amd64                     259.5-0ubuntu3.4     amd64
libpam0g:amd64                           1.7.0-5ubuntu3.1     amd64
libpango-1.0-0:amd64                     1.57.0-1             amd64
libpangocairo-1.0-0:amd64                1.57.0-1             amd64
libpangoft2-1.0-0:amd64                  1.57.0-1             amd64
libpaper-utils                           2.2.5-0.3maysync1    amd64
libpaper2:amd64                          2.2.5-0.3maysync1    amd64
libparted2t64:amd64                      3.6-6                amd64
libpcap0.8t64:amd64                      1.10.6-1ubuntu1      amd64
libpci3:amd64                            1:3.14.0-1build2     amd64
libpciaccess0:amd64                      0.18.1-1ubuntu4.1    amd64
libpcre2-16-0:amd64                      10.46-1build1        amd64
libpcre2-8-0:amd64                       10.46-1build1        amd64
libpcsclite1:amd64                       2.4.1-1              amd64
libperl5.40:amd64                        5.40.1-7ubuntu0.1    amd64
libpipeline1:amd64                       1.5.8-2              amd64
libpipewire-0.3-0t64:amd64               1.6.2-1ubuntu1.1     amd64
libpipewire-0.3-common                   1.6.2-1ubuntu1.1     all
libpixman-1-0:amd64                      0.46.4-1             amd64
libpkgconf7:amd64                        2.5.1-4              amd64
libpmem1:amd64                           1.13.1-1.1ubuntu4    amd64
libpmemobj1:amd64                        1.13.1-1.1ubuntu4    amd64
libpng16-16t64:amd64                     1.6.57-1             amd64
libpolkit-agent-1-0:amd64                127-2ubuntu1         amd64
libpolkit-gobject-1-0:amd64              127-2ubuntu1         amd64
libpopt0:amd64                           1.19+dfsg-2build1    amd64
libportaudio2:amd64                      19.7.0+git20260206.e1b70d33-0ubuntu1 amd64
libportmidi2:amd64                       2:2.0.8-1            amd64
libproc2-0:amd64                         2:4.0.4-9ubuntu1     amd64
libprotobuf-lite32t64:amd64              3.21.12-15ubuntu1    amd64
libprotobuf32t64:amd64                   3.21.12-15ubuntu1    amd64
libproxy1v5:amd64                        0.5.12-1             amd64
libpsl5t64:amd64                         0.21.2-1.1build2     amd64
libpulse0:amd64                          1:17.0+dfsg1-2ubuntu4 amd64
libpython3-dev:amd64                     3.14.3-0ubuntu2      amd64
libpython3-stdlib:amd64                  3.14.3-0ubuntu2      amd64
libpython3.14:amd64                      3.14.4-1ubuntu0.1    amd64
libpython3.14-dev:amd64                  3.14.4-1ubuntu0.1    amd64
libpython3.14-minimal:amd64              3.14.4-1ubuntu0.1    amd64
libpython3.14-stdlib:amd64               3.14.4-1ubuntu0.1    amd64
libqt5core5t64:amd64                     5.15.18+dfsg-1ubuntu1 amd64
libqt5dbus5t64:amd64                     5.15.18+dfsg-1ubuntu1 amd64
libqt5gui5t64:amd64                      5.15.18+dfsg-1ubuntu1 amd64
libqt5help5:amd64                        5.15.18-1            amd64
libqt5network5t64:amd64                  5.15.18+dfsg-1ubuntu1 amd64
libqt5printsupport5t64:amd64             5.15.18+dfsg-1ubuntu1 amd64
libqt5qml5:amd64                         5.15.18+dfsg-2       amd64
libqt5qmlmodels5:amd64                   5.15.18+dfsg-2       amd64
libqt5qmlworkerscript5:amd64             5.15.18+dfsg-2       amd64
libqt5quick5:amd64                       5.15.18+dfsg-2       amd64
libqt5sql5-sqlite:amd64                  5.15.18+dfsg-1ubuntu1 amd64
libqt5sql5t64:amd64                      5.15.18+dfsg-1ubuntu1 amd64
libqt5svg5:amd64                         5.15.18-1            amd64
libqt5waylandclient5:amd64               5.15.18-1            amd64
libqt5waylandcompositor5:amd64           5.15.18-1            amd64
libqt5widgets5t64:amd64                  5.15.18+dfsg-1ubuntu1 amd64
libqt5xml5t64:amd64                      5.15.18+dfsg-1ubuntu1 amd64
libqt5xmlpatterns5:amd64                 5.15.18-1            amd64
libquadmath0:amd64                       16-20260322-1ubuntu1 amd64
librados2                                20.2.0-0ubuntu2      amd64
libraw1394-11:amd64                      2.1.2-2build4        amd64
libraw23t64:amd64                        0.21.5b-1ubuntu1.1   amd64
librbd1                                  20.2.0-0ubuntu2      amd64
librdmacm1t64:amd64                      61.0-2ubuntu3        amd64
libreadline8t64:amd64                    8.3-4                amd64
librsvg2-2:amd64                         2.61.3+dfsg-3        amd64
librsvg2-common:amd64                    2.61.3+dfsg-3        amd64
librtmp1:amd64                           2.4+20151223.gitfa8646d.1-3 amd64
libsamplerate0:amd64                     0.2.2-4build2        amd64
libsasl2-2:amd64                         2.1.28+dfsg1-9ubuntu3 amd64
libsasl2-modules:amd64                   2.1.28+dfsg1-9ubuntu3 amd64
libsasl2-modules-db:amd64                2.1.28+dfsg1-9ubuntu3 amd64
libsdl2-2.0-0:amd64                      2.32.10+dfsg-6       amd64
libsdl2-classic:amd64                    2.32.10+dfsg-6       amd64
libseccomp2:amd64                        2.6.0-2ubuntu5       amd64
libselinux1:amd64                        3.9-4build1          amd64
libsemanage-common                       3.9-1build1          all
libsemanage2:amd64                       3.9-1build1          amd64
libsensors-config                        1:3.6.2-2build1      all
libsensors5:amd64                        1:3.6.2-2build1      amd64
libsepol2:amd64                          3.9-2                amd64
libsframe3:amd64                         2.46-3ubuntu2        amd64
libsharpyuv0:amd64                       1.5.0-0.1build1      amd64
libshout3:amd64                          2.4.6-1build3        amd64
libsigc++-2.0-0v5:amd64                  2.12.1-4build1       amd64
libsimdutf31:amd64                       8.0.0-1              amd64
libsixel-bin                             1.10.5-1build1       amd64
libsixel1:amd64                          1.10.5-1build1       amd64
libslang2:amd64                          2.3.3-5build1        amd64
libslirp0:amd64                          4.9.1-1ubuntu1.1     amd64
libsm6:amd64                             2:1.2.6-1build1      amd64
libsmartcols1:amd64                      2.41.3-3ubuntu2      amd64
libsndfile1:amd64                        1.2.2-4              amd64
libsodium23:amd64                        1.0.18-2             amd64
libsoup-3.0-0:amd64                      3.6.6-1              amd64
libsoup-3.0-common                       3.6.6-1              all
libspa-0.2-modules:amd64                 1.6.2-1ubuntu1.1     amd64
libspectre1:amd64                        0.2.12-2             amd64
libspeex1:amd64                          1.2.1-3build1        amd64
libspice-server1:amd64                   0.16.0-1             amd64
libsqlite3-0:amd64                       3.46.1-9ubuntu0.2    amd64
libss2:amd64                             1.47.2-3ubuntu4      amd64
libssh-4:amd64                           0.11.3-1ubuntu2      amd64
libssh2-1t64:amd64                       1.11.1-1ubuntu0.26.04.3 amd64
libssl-dev:amd64                         3.5.5-1ubuntu3.4     amd64
libssl3t64:amd64                         3.5.5-1ubuntu3.4     amd64
libstdc++-15-dev:amd64                   15.2.0-16ubuntu1     amd64
libstdc++6:amd64                         16-20260322-1ubuntu1 amd64
libstemmer0d:amd64                       3.0.1-1              amd64
libsystemd-shared:amd64                  259.5-0ubuntu3.4     amd64
libsystemd0:amd64                        259.5-0ubuntu3.4     amd64
libtag2:amd64                            2.2.1-3              amd64
libtasn1-6:amd64                         4.21.0-2             amd64
libtcl8.6:amd64                          8.6.17+dfsg-1build1  amd64
libtcmalloc-minimal4t64:amd64            2.18.1-1             amd64
libtext-charwidth-perl:amd64             0.04-11build4        amd64
libtext-iconv-perl:amd64                 1.7-8.1              amd64
libtext-wrapi18n-perl                    0.06-10              all
libthai-data                             0.1.30-1             all
libthai0:amd64                           0.1.30-1             amd64
libtheora1:amd64                         1.2.0+dfsg-6         amd64
libtheoradec2:amd64                      1.2.0+dfsg-6         amd64
libtheoraenc2:amd64                      1.2.0+dfsg-6         amd64
libtie-ixhash-perl                       1.23-4               all
libtiff6:amd64                           4.7.0-3ubuntu5       amd64
libtimedate-perl                         2.3300-2             all
libtinfo6:amd64                          6.6+20251231-1       amd64
libtirpc-common                          1.3.7-0.1            all
libtirpc3t64:amd64                       1.3.7-0.1            amd64
libtk8.6:amd64                           8.6.17-1build1       amd64
libtry-tiny-perl                         0.32-1               all
libtsan2:amd64                           16-20260322-1ubuntu1 amd64
libtwolame0:amd64                        0.4.0-2build4        amd64
libubsan1:amd64                          16-20260322-1ubuntu1 amd64
libuchardet0:amd64                       0.0.8-2              amd64
libudev1:amd64                           259.5-0ubuntu3.4     amd64
libunistring5:amd64                      1.3-2build1          amd64
libunwind8:amd64                         1.8.3-0ubuntu1       amd64
liburcu8t64:amd64                        0.15.6-1             amd64
liburi-perl                              5.34-2build1         all
liburing2:amd64                          2.14-1               amd64
libusb-1.0-0:amd64                       2:1.0.29-2build1     amd64
libusbredirparser1t64:amd64              0.15.0-1build1       amd64
libuuid1:amd64                           2.41.3-3ubuntu2      amd64
libuv1t64:amd64                          1.51.0-2ubuntu1      amd64
libv4l-0t64:amd64                        1.32.0-2ubuntu1      amd64
libv4lconvert0t64:amd64                  1.32.0-2ubuntu1      amd64
libva-drm2:amd64                         2.23.0-1ubuntu1      amd64
libva2:amd64                             2.23.0-1ubuntu1      amd64
libvirglrenderer1:amd64                  1.2.0-2ubuntu2       amd64
libvisual-0.4-0:amd64                    0.4.2-4              amd64
libvorbis0a:amd64                        1.3.7-3build2        amd64
libvorbisenc2:amd64                      1.3.7-3build2        amd64
libvorbisfile3:amd64                     1.3.7-3build2        amd64
libvpx12:amd64                           1.16.0-3             amd64
libvte-2.91-0:amd64                      0.84.0-2             amd64
libvte-2.91-common                       0.84.0-2             amd64
libvulkan1:amd64                         1.4.341.0-1          amd64
libwacom-common                          2.18.0-1             all
libwacom9:amd64                          2.18.0-1             amd64
libwavpack1:amd64                        5.9.0-1              amd64
libwayland-client0:amd64                 1.24.0-2             amd64
libwayland-cursor0:amd64                 1.24.0-2             amd64
libwayland-egl1:amd64                    1.24.0-2             amd64
libwayland-server0:amd64                 1.24.0-2             amd64
libwebp7:amd64                           1.5.0-0.1build1      amd64
libwebpdemux2:amd64                      1.5.0-0.1build1      amd64
libwebpmux3:amd64                        1.5.0-0.1build1      amd64
libwebrtc-audio-processing-1-3:amd64     1.3-3build2          amd64
libwmflite-0.2-7:amd64                   0.2.14-1             amd64
libwrap0:amd64                           7.6.q-36build2       amd64
libwww-perl                              6.81-1ubuntu0.1      all
libwww-robotrules-perl                   6.02-1build1         all
libx11-6:amd64                           2:1.8.13-1           amd64
libx11-data                              2:1.8.13-1           all
libx11-protocol-perl                     0.56-9               all
libx11-xcb1:amd64                        2:1.8.13-1           amd64
libxapian30:amd64                        1.4.31-2             amd64
libxau6:amd64                            1:1.0.11-1build2     amd64
libxaw7:amd64                            2:1.0.16-1build1     amd64
libxcb-dri3-0:amd64                      1.17.0-2ubuntu1      amd64
libxcb-glx0:amd64                        1.17.0-2ubuntu1      amd64
libxcb-icccm4:amd64                      0.4.2-1build1        amd64
libxcb-image0:amd64                      0.4.0-2build2        amd64
libxcb-keysyms1:amd64                    0.4.1-1build1        amd64
libxcb-present0:amd64                    1.17.0-2ubuntu1      amd64
libxcb-randr0:amd64                      1.17.0-2ubuntu1      amd64
libxcb-render-util0:amd64                0.3.10-1build1       amd64
libxcb-render0:amd64                     1.17.0-2ubuntu1      amd64
libxcb-shape0:amd64                      1.17.0-2ubuntu1      amd64
libxcb-shm0:amd64                        1.17.0-2ubuntu1      amd64
libxcb-sync1:amd64                       1.17.0-2ubuntu1      amd64
libxcb-util1:amd64                       0.4.1-1build1        amd64
libxcb-xfixes0:amd64                     1.17.0-2ubuntu1      amd64
libxcb-xinerama0:amd64                   1.17.0-2ubuntu1      amd64
libxcb-xinput0:amd64                     1.17.0-2ubuntu1      amd64
libxcb-xkb1:amd64                        1.17.0-2ubuntu1      amd64
libxcb1:amd64                            1.17.0-2ubuntu1      amd64
libxcomposite1:amd64                     1:0.4.6-1build1      amd64
libxcursor1:amd64                        1:1.2.3-1build1      amd64
libxdamage1:amd64                        1:1.1.7-1            amd64
libxdmcp6:amd64                          1:1.1.5-2            amd64
libxext6:amd64                           2:1.3.4-1build3      amd64
libxfixes3:amd64                         1:6.0.0-2build2      amd64
libxft2:amd64                            2.3.6-1build2        amd64
libxi6:amd64                             2:1.8.2-2            amd64
libxinerama1:amd64                       2:1.1.4-3build2      amd64
libxkbcommon-x11-0:amd64                 1.13.1-1             amd64
libxkbcommon0:amd64                      1.13.1-1             amd64
libxkbfile1:amd64                        1:1.1.0-1build5      amd64
libxml-parser-perl                       2.47-1ubuntu1        amd64
libxml-twig-perl                         1:3.54-1build1       all
libxml-xpathengine-perl                  0.14-2               all
libxml2-16:amd64                         2.15.2+dfsg-0.1ubuntu0.1 amd64
libxmlb2:amd64                           0.3.24-2             amd64
libxmu6:amd64                            2:1.1.3-4            amd64
libxmuu1:amd64                           2:1.1.3-4            amd64
libxpm4:amd64                            1:3.5.17-1ubuntu0.26.04.1 amd64
libxrandr2:amd64                         2:1.5.4-1build1      amd64
libxrender1:amd64                        1:0.9.12-1build1     amd64
libxres1:amd64                           2:1.2.1-1build2      amd64
libxshmfence1:amd64                      1.3.3-1build1        amd64
libxss1:amd64                            1:1.2.3-1build4      amd64
libxt6t64:amd64                          1:1.2.1-1.3build1    amd64
libxtables12:amd64                       1.8.11-2ubuntu3      amd64
libxtst6:amd64                           2:1.2.5-1build1      amd64
libxv1:amd64                             2:1.0.13-1           amd64
libxxf86dga1:amd64                       2:1.1.5-1build2      amd64
libxxf86vm1:amd64                        1:1.1.4-2            amd64
libxxhash0:amd64                         0.8.3-2build1        amd64
libyaml-0-2:amd64                        0.2.5-2build3        amd64
libyuv0:amd64                            0.0.1922.20260106-1  amd64
libzstd-dev:amd64                        1.5.7+dfsg-3         amd64
libzstd1:amd64                           1.5.7+dfsg-3         amd64
linux-libc-dev:amd64                     7.0.0-30.30          amd64
linux-sysctl-defaults                    4.15ubuntu5          all
locales                                  2.43-2ubuntu2.3      all
login                                    1:4.16.0-2+really2.41.3-3ubuntu2 amd64
login.defs                               1:4.17.4-2ubuntu3    all
logrotate                                3.22.0-1build1       amd64
logsave                                  1.47.2-3ubuntu4      amd64
lsb-release                              12.1-2build1         all
lshw                                     02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3 amd64
lsof                                     4.99.4+dfsg-2build2  amd64
lto-disabled-list                        79                   all
luit                                     2.0.20250912-1       amd64
m4                                       1.4.21-1             amd64
make                                     4.4.1-3              amd64
man-db                                   2.13.1-1build1       amd64
manpages                                 6.17-1               all
manpages-dev                             6.17-1               all
manpages-zh                              1.6.4.3-1            all
mawk                                     1.3.4.20260129-1     amd64
media-types                              14.0.0build1         all
mesa-libgallium:amd64                    26.0.8-1ubuntu0.3    amd64
mesa-vulkan-drivers:amd64                26.0.8-1ubuntu0.3    amd64
mingw-w64                                13.0.0-2ubuntu1      all
mingw-w64-common                         13.0.0-2ubuntu1      all
mingw-w64-i686-dev                       13.0.0-2ubuntu1      all
mingw-w64-x86-64-dev                     13.0.0-2ubuntu1      all
mkdocs                                   1.6.1+dfsg1-2        all
mkdocs-get-deps                          0.2.0-2              all
motd-news-config                         14ubuntu6.1          all
mount                                    2.41.3-3ubuntu2      amd64
msr-tools                                1.3+git20220805.7d78c80-1build1 amd64
mtools                                   4.0.49-1             amd64
musescore                                2.3.2+dfsg4-17       amd64
musescore-common                         2.3.2+dfsg4-17       all
musescore-general-soundfont-small        0.2.1-1build1        all
mysql-client                             8.4.10-0ubuntu0.26.04.1 amd64
mysql-client-core                        8.4.10-0ubuntu0.26.04.1 amd64
mysql-common                             5.8+1.1.1ubuntu2     all
mysql-server                             8.4.10-0ubuntu0.26.04.1 amd64
mysql-server-core                        8.4.10-0ubuntu0.26.04.1 amd64
nano                                     8.7.1-1ubuntu0.1     amd64
ncurses-base                             6.6+20251231-1       all
ncurses-bin                              6.6+20251231-1       amd64
ncurses-term                             6.6+20251231-1       all
neofetch                                 7.1.0-3              all
netbase                                  6.5build1            all
netcat-openbsd                           1.234-1              amd64
netpbm                                   2:11.10.02-1build1   amd64
netplan-generator                        1.2-1ubuntu5         amd64
netplan.io                               1.2-1ubuntu5         amd64
networkd-dispatcher                      2.2.4-1.1ubuntu1     all
nftables                                 1.1.6-1              amd64
nginx                                    1.28.3-2ubuntu1.10   amd64
nginx-common                             1.28.3-2ubuntu1.10   all
nmap                                     7.98+dfsg-1          amd64
nmap-common                              7.98+dfsg-1          all
node-popper2                             2.11.2-9             all
openssh-client                           1:10.2p1-2ubuntu3.5  amd64
openssh-server                           1:10.2p1-2ubuntu3.5  amd64
openssh-sftp-server                      1:10.2p1-2ubuntu3.5  amd64
openssl                                  3.5.5-1ubuntu3.4     amd64
openssl-provider-legacy                  3.5.5-1ubuntu3.4     amd64
os-prober                                1.84ubuntu1          amd64
ovmf                                     2025.11-3ubuntu7     all
ovmf-amdsev                              2025.11-3ubuntu7     all
ovmf-generic                             2025.11-3ubuntu7     all
ovmf-inteltdx                            2025.11-3ubuntu7     all
packagekit                               1.3.4-3ubuntu1.2     amd64
parted                                   3.6-6                amd64
passwd                                   1:4.17.4-2ubuntu3    amd64
pastebinit                               1.8.0-1              all
patch                                    2.8-2build1          amd64
pci.ids                                  0.0~2026.02.12-1     all
pciutils                                 1:3.14.0-1build2     amd64
perl                                     5.40.1-7ubuntu0.1    amd64
perl-base                                5.40.1-7ubuntu0.1    amd64
perl-modules-5.40                        5.40.1-7ubuntu0.1    all
perl-openssl-defaults:amd64              7build4              amd64
pinentry-curses                          1.3.2-3ubuntu1       amd64
pipx                                     1.8.0-1              all
pkg-config:amd64                         2.5.1-4              amd64
pkgconf:amd64                            2.5.1-4              amd64
pkgconf-bin                              2.5.1-4              amd64
polkitd                                  127-2ubuntu1         amd64
poppler-data                             0.4.12-1build1       all
procps                                   2:4.0.4-9ubuntu1     amd64
psmisc                                   23.7-2ubuntu2        amd64
publicsuffix                             20260129.1928-1      all
pv                                       1.10.3-1             amd64
python-apt-common                        3.1.0ubuntu1         all
python-babel-localedata                  2.17.0-2             all
python3                                  3.14.3-0ubuntu2      amd64
python3-apport                           2.34.1-0ubuntu0.1    all
python3-apt                              3.1.0ubuntu1         amd64
python3-argcomplete                      3.6.3-1              all
python3-attr                             25.4.0-1build1       all
python3-autocommand                      2.2.2-4              all
python3-automat                          25.4.16-1build1      all
python3-babel                            2.17.0-2             all
python3-bcrypt                           5.0.0-3build1        amd64
python3-blinker                          1.9.0-2build1        all
python3-certifi                          2026.1.4+ds-1        all
python3-cffi-backend:amd64               2.0.0-3build1        amd64
python3-chardet                          5.2.0+dfsg-2build1   all
python3-click                            8.2.0+0.really.8.1.8-1build1 all
python3-commandnotfound                  23.04.0build1        all
python3-configobj                        5.0.9-1build1        all
python3-constantly                       23.10.4-2build1      all
python3-cryptography                     46.0.5-1ubuntu2      amd64
python3-dateutil                         2.9.0-4build1        all
python3-dbus                             1.4.0-1build2        amd64
python3-debconf                          1.5.92               all
python3-dev                              3.14.3-0ubuntu2      amd64
python3-distro                           1.9.0-1build1        all
python3-distro-info                      1.15                 all
python3-distupgrade                      1:26.04.22           all
python3-gdbm                             3.14.3-0ubuntu2      amd64
python3-gi                               3.56.2-1             amd64
python3-hamcrest                         2.1.0-3              all
python3-httplib2                         0.22.0-1ubuntu0.1    all
python3-hyperlink                        21.0.0-6build1       all
python3-idna                             3.11-1ubuntu0.1      all
python3-incremental                      24.7.2-4             all
python3-inflect                          7.5.0-1build1        all
python3-iniconfig                        2.1.0-2              all
python3-jaraco.context                   6.0.1-2              all
python3-jaraco.functools                 4.1.0-1build1        all
python3-jaraco.text                      4.0.0-1build1        all
python3-jinja2                           3.1.6-1build1        all
python3-joblib                           1.5.2-1              all
python3-json-pointer                     2.4-4                all
python3-jsonpatch                        1.32-6               all
python3-jsonschema                       4.19.2-6ubuntu2      all
python3-jsonschema-specifications        2023.12.1-4          all
python3-jwt                              2.10.1-4ubuntu1      all
python3-launchpadlib                     2.1.0-1build1        all
python3-lazr.restfulclient               0.14.6-3build1       all
python3-lazr.uri                         1.0.6-7build1        all
python3-linkify-it                       2.0.3-1ubuntu3       all
python3-livereload                       2.7.1-0.1            all
python3-lunr                             0.8.0-1              all
python3-markdown                         3.10.2-1             all
python3-markdown-it                      3.0.0-3build1        all
python3-markupsafe                       3.0.3-1build1        amd64
python3-mdurl                            0.1.2-1build1        all
python3-mergedeep                        1.3.4-4build1        all
python3-minimal                          3.14.3-0ubuntu2      amd64
python3-more-itertools                   10.8.0-1build1       all
python3-netifaces:amd64                  0.11.0-2build7       amd64
python3-netplan                          1.2-1ubuntu5         amd64
python3-newt:amd64                       0.52.25-1ubuntu3     amd64
python3-nltk                             3.9.2-1              all
python3-numpy                            1:2.3.5+ds-3ubuntu1  amd64
python3-numpy-dev:amd64                  1:2.3.5+ds-3ubuntu1  amd64
python3-oauthlib                         3.3.1-1build1        all
python3-openssl                          25.3.0-1ubuntu1      all
python3-packaging                        26.0-1               all
python3-passlib                          1.9.3-1ubuntu1       all
python3-pathspec                         1.0.4-1              all
python3-pip                              25.1.1+dfsg-1ubuntu2 all
python3-pip-whl                          25.1.1+dfsg-1ubuntu2 all
python3-pkg-resources                    78.1.1-0.1build1     all
python3-platformdirs                     4.9.4-1              all
python3-pluggy                           1.6.0-2              all
python3-problem-report                   2.34.1-0ubuntu0.1    all
python3-psutil                           7.1.0-1ubuntu1       amd64
python3-pyasn1                           0.6.3-1              all
python3-pyasn1-modules                   0.4.1-2build1        all
python3-pyasyncore                       1.0.2-3build1        all
python3-pycurl                           7.45.7-3build1       amd64
python3-pygments                         2.19.2+dfsg-1        all
python3-pyinotify                        0.9.6-5build1        all
python3-pyparsing                        3.3.2-2              all
python3-pytest                           9.0.2-4              all
python3-pyyaml-env-tag                   1.1-1                all
python3-referencing                      0.36.2-1ubuntu2      all
python3-regex                            0.1.20250918-1build1 amd64
python3-requests                         2.32.5+dfsg-1ubuntu1 all
python3-rich                             13.9.4-1.2           all
python3-rpds-py                          0.27.1-2ubuntu3      amd64
python3-serial                           3.5-2build1          all
python3-service-identity                 24.2.0-1build1       all
python3-setuptools                       78.1.1-0.1build1     all
python3-setuptools-whl                   78.1.1-0.1build1     all
python3-software-properties              0.120                all
python3-systemd                          235-1build9          amd64
python3-tk                               3.14.3-0ubuntu2      amd64
python3-tornado                          6.5.4-0.1ubuntu0.1   amd64
python3-tqdm                             4.67.3-1build1       all
python3-twisted                          25.5.0-5ubuntu0.1    all
python3-typeguard                        4.4.4-2              all
python3-typing-extensions                4.15.0-2             all
python3-uc-micro                         1.0.3-1build1        all
python3-update-manager                   1:26.04.5            all
python3-urllib3                          2.6.3-1ubuntu1.1     all
python3-userpath                         1.9.2-2              all
python3-venv                             3.14.3-0ubuntu2      amd64
python3-wadllib                          2.0.0-3              all
python3-watchdog                         6.0.0-4              all
python3-wheel                            0.46.3-2             all
python3-yaml                             6.0.3-1build1        amd64
python3-zipp                             3.23.0-1build1       all
python3-zope.interface                   8.2-1build1          amd64
python3.14                               3.14.4-1ubuntu0.1    amd64
python3.14-dev                           3.14.4-1ubuntu0.1    amd64
python3.14-gdbm                          3.14.4-1ubuntu0.1    amd64
python3.14-minimal                       3.14.4-1ubuntu0.1    amd64
python3.14-tk                            3.14.4-1ubuntu0.1    amd64
python3.14-venv                          3.14.4-1ubuntu0.1    amd64
qemu-block-extra                         1:10.2.1+ds-1ubuntu3.2 amd64
qemu-system-common                       1:10.2.1+ds-1ubuntu3.2 amd64
qemu-system-data                         1:10.2.1+ds-1ubuntu3.2 all
qemu-system-gui                          1:10.2.1+ds-1ubuntu3.2 amd64
qemu-system-modules-opengl               1:10.2.1+ds-1ubuntu3.2 amd64
qemu-system-modules-spice                1:10.2.1+ds-1ubuntu3.2 amd64
qemu-system-x86                          1:10.2.1+ds-1ubuntu3.2 amd64
qemu-utils                               1:10.2.1+ds-1ubuntu3.2 amd64
qml-module-qt-labs-folderlistmodel:amd64 5.15.18+dfsg-2       amd64
qml-module-qt-labs-settings:amd64        5.15.18+dfsg-2       amd64
qml-module-qtgraphicaleffects:amd64      5.15.18-1            amd64
qml-module-qtqml:amd64                   5.15.18+dfsg-2       amd64
qml-module-qtqml-models2:amd64           5.15.18+dfsg-2       amd64
qml-module-qtquick-controls:amd64        5.15.18-1            amd64
qml-module-qtquick-dialogs:amd64         5.15.18-1            amd64
qml-module-qtquick-layouts:amd64         5.15.18+dfsg-2       amd64
qml-module-qtquick-privatewidgets:amd64  5.15.18-1            amd64
qml-module-qtquick-window2:amd64         5.15.18+dfsg-2       amd64
qml-module-qtquick2:amd64                5.15.18+dfsg-2       amd64
qt5-gtk-platformtheme:amd64              5.15.18+dfsg-1ubuntu1 amd64
qttranslations5-l10n                     5.15.18-1            all
qtwayland5:amd64                         5.15.18-1            amd64
readline-common                          8.3-4                all
redis                                    6:8.10.1-1rl1~resolute1 all
redis-server                             6:8.10.1-1rl1~resolute1 amd64
redis-tools                              6:8.10.1-1rl1~resolute1 amd64
rpcsvc-proto                             1.4.3-1build1        amd64
rsync                                    3.4.1+ds1-7ubuntu0.3 amd64
rsyslog                                  8.2512.0-1ubuntu4.1  amd64
run-one                                  1.17-0ubuntu3        all
rust-coreutils                           0.8.0-0ubuntu3       amd64
sbsigntool                               0.9.4-3.1ubuntu9     amd64
screen                                   4.9.1-3ubuntu2       amd64
seabios                                  1.17.0-1ubuntu1      all
